two_theta,intensity
5.00000,21.88343
5.05000,17.20684
5.10000,18.64057
5.15000,20.74101
5.20000,17.96730
5.25000,19.85576
5.30000,20.35839
5.35000,18.33780
5.40000,17.38193
5.45000,20.38778
5.50000,21.98650
5.55000,18.70604
5.60000,19.33266
5.65000,23.29134
5.70000,18.88222
5.75000,18.97169
5.80000,24.80824
5.85000,16.93783
5.90000,21.59293
5.95000,15.99270
6.00000,18.80607
6.05000,23.00736
6.10000,22.44287
6.15000,18.19776
6.20000,19.09260
6.25000,20.16047
6.30000,17.48379
6.35000,21.10444
6.40000,24.45515
6.45000,17.28952
6.50000,16.03693
6.55000,20.57649
6.60000,19.76175
6.65000,23.60866
6.70000,19.67928
6.75000,19.89868
6.80000,19.61825
6.85000,18.01879
6.90000,21.34606
6.95000,17.35184
7.00000,22.33298
7.05000,20.01675
7.10000,21.00726
7.15000,18.89447
7.20000,18.15961
7.25000,23.60053
7.30000,20.93710
7.35000,22.41401
7.40000,20.37425
7.45000,25.22322
7.50000,20.71500
7.55000,17.94039
7.60000,21.53702
7.65000,20.85060
7.70000,15.35770
7.75000,19.76819
7.80000,21.96040
7.85000,21.60233
7.90000,19.32113
7.95000,17.57475
8.00000,20.98259
8.05000,17.70834
8.10000,22.64936
8.15000,19.38746
8.20000,18.15036
8.25000,18.86467
8.30000,18.37822
8.35000,18.87857
8.40000,18.52723
8.45000,19.24198
8.50000,20.47794
8.55000,21.19378
8.60000,17.77951
8.65000,18.09692
8.70000,19.14169
8.75000,20.12749
8.80000,20.19546
8.85000,15.91204
8.90000,23.40805
8.95000,18.21961
9.00000,23.63398
9.05000,17.29549
9.10000,18.07166
9.15000,19.49713
9.20000,19.55465
9.25000,18.45684
9.30000,21.46979
9.35000,16.39593
9.40000,22.11012
9.45000,18.36405
9.50000,22.50320
9.55000,19.18257
9.60000,17.20189
9.65000,20.89823
9.70000,24.46034
9.75000,19.89511
9.80000,20.22297
9.85000,19.20125
9.90000,18.24694
9.95000,18.49735
10.00000,17.35857
10.05000,17.18194
10.10000,20.14188
10.15000,23.24018
10.20000,21.04619
10.25000,20.94758
10.30000,20.49720
10.35000,18.27172
10.40000,20.37063
10.45000,19.15684
10.50000,21.87511
10.55000,22.46046
10.60000,22.50748
10.65000,20.73249
10.70000,22.08751
10.75000,18.67552
10.80000,19.80346
10.85000,19.57828
10.90000,18.19399
10.95000,17.95148
11.00000,18.23007
11.05000,19.08479
11.10000,16.15405
11.15000,24.08831
11.20000,20.40743
11.25000,20.09482
11.30000,21.24101
11.35000,19.68992
11.40000,20.97926
11.45000,20.96575
11.50000,21.47410
11.55000,15.53457
11.60000,22.08457
11.65000,20.30045
11.70000,21.24675
11.75000,20.92390
11.80000,20.52599
11.85000,22.83760
11.90000,19.25678
11.95000,21.01899
12.00000,19.43323
12.05000,19.98705
12.10000,24.80272
12.15000,23.53217
12.20000,20.59077
12.25000,21.79692
12.30000,19.59489
12.35000,16.36209
12.40000,21.63085
12.45000,21.16023
12.50000,22.13095
12.55000,25.36436
12.60000,41.11926
12.65000,49.33732
12.70000,57.70737
12.75000,58.48845
12.80000,56.66257
12.85000,50.96153
12.90000,37.15404
12.95000,30.41370
13.00000,22.54482
13.05000,22.12177
13.10000,18.40576
13.15000,19.15157
13.20000,19.32739
13.25000,21.74851
13.30000,20.79678
13.35000,18.70466
13.40000,19.70627
13.45000,19.88242
13.50000,19.90424
13.55000,18.19290
13.60000,21.55766
13.65000,20.45994
13.70000,20.30664
13.75000,24.93851
13.80000,19.01276
13.85000,21.31962
13.90000,16.92971
13.95000,23.74951
14.00000,18.14101
14.05000,17.92454
14.10000,19.57517
14.15000,18.06404
14.20000,17.50813
14.25000,21.48601
14.30000,21.30708
14.35000,20.01252
14.40000,19.25159
14.45000,21.27642
14.50000,18.73191
14.55000,18.51716
14.60000,21.83755
14.65000,18.17220
14.70000,18.25741
14.75000,21.03936
14.80000,19.37953
14.85000,18.01294
14.90000,19.67552
14.95000,19.47276
15.00000,18.54109
15.05000,20.52160
15.10000,21.34231
15.15000,22.04870
15.20000,17.44045
15.25000,20.20523
15.30000,20.14300
15.35000,15.85220
15.40000,18.27114
15.45000,20.05887
15.50000,16.43899
15.55000,20.75164
15.60000,22.58756
15.65000,17.41297
15.70000,22.93249
15.75000,27.14320
15.80000,19.44031
15.85000,19.38032
15.90000,19.09963
15.95000,14.18427
16.00000,17.54234
16.05000,21.74308
16.10000,19.44008
16.15000,21.26809
16.20000,19.97199
16.25000,19.86547
16.30000,21.08191
16.35000,17.79965
16.40000,20.82230
16.45000,20.58012
16.50000,17.59364
16.55000,16.71987
16.60000,18.96196
16.65000,25.44479
